crop,b_nut,b_K2O,c_N,c_P2O5,c_K2O,max_yield  ,Area,polygon
Wheat,0.81778,0.7216,0.026169,0.025119,0.026787,6.8317,18.590284,1
Maize,0.8121,0.704,0.01,0.044571,0.018961,5.6681,20.057938,1
oilseeds,0.62583,0.41953,0.065305,0.11705,0.015316,2.5101,3.424526,1
Wheat,0.81778,0.7216,0.026169,0.025119,0.026787,6.8317,21.812,2
Maize,0.8121,0.704,0.01,0.044571,0.018961,5.6681,23.534,2
oilseeds,0.62583,0.41953,0.065305,0.11705,0.015316,2.5101,4.018,2
Wheat,0.81778,0.7216,0.026169,0.025119,0.026787,6.8317,21.964,3
Maize,0.86326,0.71263,0.041605,0.068961,0.021797,5.1773,23.698,3
oilseeds,0.68867,0.4808,0.065305,0.087195,0.015369,2.5101,4.046,3
Wheat,0.81778,0.7216,0.026169,0.025119,0.026787,6.8317,15.238,4
Maize,0.86326,0.71263,0.041605,0.068961,0.021797,5.1773,16.441,4
oilseeds,0.49756,0.37016,0.024165,0.087195,0.010858,2.5101,2.807,4
